X,Y
1144,820
1144,818
1144,816
1144,812
1146,808
1146,804
1148,798
1148,794
1148,790
1148,786
1150,782
1150,778
1150,776
1150,772
1150,770
1150,768
1150,766
1150,762
1150,758
1150,756
1150,752
1150,748
1150,746
1152,744
1152,742
1152,740
1152,738
1152,736
1152,734
1152,732
1152,730
1152,728
1152,726
1152,724
1152,720
1152,718
1152,716
1152,714
1152,712
1152,710
1152,708
1154,704
1154,702
1154,700
1154,698
1154,694
1154,692
1154,690
1154,688
1154,686
1154,684
1154,682
1154,680
1154,678
1152,676
1152,674
1150,674
1148,672
1146,670
1144,670
1142,668
1138,668
1138,666
1134,664
1132,664
1130,664
1128,662
1126,662
1124,662
1122,662
1120,662
1116,662
1114,662
1112,662
1108,662
1106,662
1104,662
1102,662
1098,662
1096,662
1094,662
1092,662
1090,660
1088,660
1088,658
1086,658
1084,658
1084,656
1084,652
1084,648
1084,646
1084,644
1084,642
1084,640
1080,640
1076,640
1074,638
1070,638
1068,638
1064,638
1062,638
1060,638
1058,638
1056,638
1054,638
1052,638
1048,638
1046,638
1042,638
1040,638
1034,638
1032,638
1028,638
1026,638
1022,638
1020,638
1018,638
1016,636
1014,636
1012,634
1010,634
1008,632
1006,632
1006,630
1004,628
1002,626
1000,626
998,624
996,622
996,620
994,620
994,618
992,618
992,616
990,614
990,612
988,610
986,608
984,606
984,604
982,604
982,602
980,600
978,600
978,598
976,596
976,592
974,588
972,588
972,586
970,584
970,582
968,580
966,578
966,576
964,574
964,572
962,572
962,570
960,566
958,564
958,562
958,560
958,558
956,556
956,552
954,550
952,548
952,546
952,544
950,540
950,538
950,536
948,534
948,532
948,530
948,528
946,526
946,522
946,520
946,518
946,516
944,512
944,510
942,506
942,504
942,502
940,500
940,498
940,496
940,494
940,492
940,490
940,488
940,486
940,484
940,482
940,480
940,478
938,476
938,474
938,472
938,470
938,468
938,466
938,464
938,462
938,460
938,458
938,456
938,454
938,450
938,448
936,448
936,446
936,444
936,442
936,440
936,438
936,436
936,434
936,432
936,430
936,428
936,426
934,424
934,422
934,420
934,418
934,416
934,412
934,410
932,406
932,404
932,402
930,398
930,394
930,392
930,390
928,390
928,386
928,384
926,382
926,380
924,378
924,374
924,372
924,368
924,366
922,364
922,360
922,358
920,356
920,354
920,352
920,350
920,346
918,344
918,342
916,338
916,336
916,334
916,330
914,328
914,326
914,324
912,322
912,318
912,316
912,314
910,312
910,308
910,306
910,304
908,302
908,300
906,298
906,296
906,294
906,292
906,290
904,288
904,286
904,284
904,282
904,280
904,278
904,276
902,274
902,272
